C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RW,Andrew Shaw (12321832),Andrew Shaw,12321832,W/UTIL,4800,MON@CLS 03/28/2019 07:00PM ET,MON,3.1
,,,,,,,,,,D,Ryan Pulock (12322252),Ryan Pulock,12322252,D/UTIL,4800,NYI@WPG 03/28/2019 08:00PM ET,NYI,2.94
,,,,,,,,,,D,Jeff Petry (12322258),Jeff Petry,12322258,D/UTIL,4700,MON@CLS 03/28/2019 07:00PM ET,MON,3.04
,,,,,,,,,,LW,Brandon Saad (12321834),Brandon Saad,12321834,W/UTIL,4700,CHI@SJ 03/28/2019 10:30PM ET,CHI,2.92
,,,,,,,,,,D,Marc-Edouard Vlasic (12322250),Marc-Edouard Vlasic,12322250,D/UTIL,4700,CHI@SJ 03/28/2019 10:30PM ET,SJ,2.22
,,,,,,,,,,D,Rasmus Dahlin (12322256),Rasmus Dahlin,12322256,D/UTIL,4600,DET@BUF 03/28/2019 07:00PM ET,BUF,2.67
,,,,,,,,,,LW,Boone Jenner (12321836),Boone Jenner,12321836,W/UTIL,4600,MON@CLS 03/28/2019 07:00PM ET,CLS,2.88
,,,,,,,,,,D,Duncan Keith (12322254),Duncan Keith,12322254,D/UTIL,4600,CHI@SJ 03/28/2019 10:30PM ET,CHI,2.77
,,,,,,,,,,D,Brandon Montour (12322262),Brandon Montour,12322262,D/UTIL,4500,DET@BUF 03/28/2019 07:00PM ET,BUF,2.72
,,,,,,,,,,C,Jordan Staal (12321576),Jordan Staal,12321576,C/UTIL,4500,WAS@CAR 03/28/2019 07:00PM ET,CAR,2.67
,,,,,,,,,,LW,Nikolaj Ehlers (12321838),Nikolaj Ehlers,12321838,W/UTIL,4500,NYI@WPG 03/28/2019 08:00PM ET,WPG,3
,,,,,,,,,,D,Drew Doughty (12322260),Drew Doughty,12322260,D/UTIL,4500,LA@VAN 03/28/2019 10:00PM ET,LA,2.88
